"chart_date","rank","track_id","title","artist","peak_rank"
"2015-04-18",1,2973,"Trap Queen","Fetty Wap",1
"2015-04-18",2,950,"G.D.F.R.","Flo Rida",2
"2015-04-18",3,2452,"See You Again","Wiz Khalifa",3
"2015-04-18",4,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-04-18",5,2991,"Truffle Butter","Nicki Minaj",2
"2015-04-18",6,339,"Blessings","Big Sean",5
"2015-04-18",7,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-04-18",8,2119,"Only","Nicki Minaj",1
"2015-04-18",9,1632,"Know Yourself","Drake",8
"2015-04-18",10,3088,"Watch Me","Silento",10
"2015-04-18",12,787,"Energy","Drake",5
"2015-04-18",13,123,"All Day","Kanye West",4
"2015-04-18",15,1669,"Legend","Drake",10
"2015-04-18",16,546,"CoCo","O.T. Genasis",4
"2015-04-18",19,852,"Feeling Myself","Nicki Minaj",8
"2015-04-11",1,2973,"Trap Queen","Fetty Wap",1
"2015-04-11",2,950,"G.D.F.R.","Flo Rida",2
"2015-04-11",3,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-04-11",4,2991,"Truffle Butter","Nicki Minaj",2
"2015-04-11",5,339,"Blessings","Big Sean",5
"2015-04-11",6,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-04-11",7,2119,"Only","Nicki Minaj",1
"2015-04-11",8,1632,"Know Yourself","Drake",8
"2015-04-11",9,787,"Energy","Drake",5
"2015-04-11",10,123,"All Day","Kanye West",4
"2015-04-11",11,3088,"Watch Me","Silento",10
"2015-04-11",12,1669,"Legend","Drake",10
"2015-04-11",14,546,"CoCo","O.T. Genasis",4
"2015-04-11",16,852,"Feeling Myself","Nicki Minaj",8
"2015-04-11",18,170,"Apparently","J. Cole",10
"2015-04-11",19,2452,"See You Again","Wiz Khalifa",3
"2015-04-04",1,2973,"Trap Queen","Fetty Wap",1
"2015-04-04",2,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-04-04",3,950,"G.D.F.R.","Flo Rida",2
"2015-04-04",4,2991,"Truffle Butter","Nicki Minaj",2
"2015-04-04",5,2119,"Only","Nicki Minaj",1
"2015-04-04",6,339,"Blessings","Big Sean",5
"2015-04-04",7,1317,"I Don't F**k With You","Big Sean",1
"2015-04-04",8,2035,"No Type","Rae Sremmurd",2
"2015-04-04",9,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-04-04",10,787,"Energy","Drake",5
"2015-04-04",11,123,"All Day","Kanye West",4
"2015-04-04",12,1632,"Know Yourself","Drake",8
"2015-04-04",14,1669,"Legend","Drake",10
"2015-04-04",15,546,"CoCo","O.T. Genasis",4
"2015-04-04",17,3088,"Watch Me","Silento",10
"2015-04-04",18,852,"Feeling Myself","Nicki Minaj",8
"2015-04-04",19,170,"Apparently","J. Cole",10
"2015-03-28",1,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-03-28",2,2973,"Trap Queen","Fetty Wap",1
"2015-03-28",3,950,"G.D.F.R.","Flo Rida",2
"2015-03-28",4,2991,"Truffle Butter","Nicki Minaj",2
"2015-03-28",5,2119,"Only","Nicki Minaj",1
"2015-03-28",6,1317,"I Don't F**k With You","Big Sean",1
"2015-03-28",7,339,"Blessings","Big Sean",5
"2015-03-28",8,2035,"No Type","Rae Sremmurd",2
"2015-03-28",9,123,"All Day","Kanye West",4
"2015-03-28",10,787,"Energy","Drake",5
"2015-03-28",11,546,"CoCo","O.T. Genasis",4
"2015-03-28",12,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-03-28",13,1669,"Legend","Drake",10
"2015-03-28",14,1632,"Know Yourself","Drake",8
"2015-03-28",15,170,"Apparently","J. Cole",10
"2015-03-28",16,852,"Feeling Myself","Nicki Minaj",8
"2015-03-28",17,3088,"Watch Me","Silento",10
"2015-03-28",20,2452,"See You Again","Wiz Khalifa",3
"2015-03-21",1,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-03-21",2,2973,"Trap Queen","Fetty Wap",1
"2015-03-21",3,2991,"Truffle Butter","Nicki Minaj",2
"2015-03-21",4,123,"All Day","Kanye West",4
"2015-03-21",5,950,"G.D.F.R.","Flo Rida",2
"2015-03-21",6,2119,"Only","Nicki Minaj",1
"2015-03-21",7,1317,"I Don't F**k With You","Big Sean",1
"2015-03-21",8,339,"Blessings","Big Sean",5
"2015-03-21",9,2035,"No Type","Rae Sremmurd",2
"2015-03-21",10,787,"Energy","Drake",5
"2015-03-21",11,546,"CoCo","O.T. Genasis",4
"2015-03-21",12,1669,"Legend","Drake",10
"2015-03-21",13,170,"Apparently","J. Cole",10
"2015-03-21",14,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-03-21",15,1632,"Know Yourself","Drake",8
"2015-03-21",16,852,"Feeling Myself","Nicki Minaj",8
"2015-03-21",18,3088,"Watch Me","Silento",10
"2015-03-14",1,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-03-14",2,2991,"Truffle Butter","Nicki Minaj",2
"2015-03-14",3,2973,"Trap Queen","Fetty Wap",1
"2015-03-14",4,2119,"Only","Nicki Minaj",1
"2015-03-14",5,1317,"I Don't F**k With You","Big Sean",1
"2015-03-14",6,950,"G.D.F.R.","Flo Rida",2
"2015-03-14",7,339,"Blessings","Big Sean",5
"2015-03-14",8,2035,"No Type","Rae Sremmurd",2
"2015-03-14",9,787,"Energy","Drake",5
"2015-03-14",10,546,"CoCo","O.T. Genasis",4
"2015-03-14",12,1669,"Legend","Drake",10
"2015-03-14",13,170,"Apparently","J. Cole",10
"2015-03-14",14,852,"Feeling Myself","Nicki Minaj",8
"2015-03-14",15,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-03-14",17,1632,"Know Yourself","Drake",8
"2015-03-14",20,2995,"Try Me","DeJ Loaf",8
"2015-03-07",1,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-03-07",2,2119,"Only","Nicki Minaj",1
"2015-03-07",3,2991,"Truffle Butter","Nicki Minaj",2
"2015-03-07",4,1317,"I Don't F**k With You","Big Sean",1
"2015-03-07",5,787,"Energy","Drake",5
"2015-03-07",6,950,"G.D.F.R.","Flo Rida",2
"2015-03-07",7,2973,"Trap Queen","Fetty Wap",1
"2015-03-07",8,546,"CoCo","O.T. Genasis",4
"2015-03-07",9,2035,"No Type","Rae Sremmurd",2
"2015-03-07",10,1669,"Legend","Drake",10
"2015-03-07",12,170,"Apparently","J. Cole",10
"2015-03-07",13,852,"Feeling Myself","Nicki Minaj",8
"2015-03-07",14,339,"Blessings","Big Sean",5
"2015-03-07",15,1632,"Know Yourself","Drake",8
"2015-03-07",16,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-03-07",20,2995,"Try Me","DeJ Loaf",8
"2015-02-28",1,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-02-28",2,2119,"Only","Nicki Minaj",1
"2015-02-28",3,1317,"I Don't F**k With You","Big Sean",1
"2015-02-28",4,2991,"Truffle Butter","Nicki Minaj",2
"2015-02-28",5,546,"CoCo","O.T. Genasis",4
"2015-02-28",6,950,"G.D.F.R.","Flo Rida",2
"2015-02-28",7,2035,"No Type","Rae Sremmurd",2
"2015-02-28",8,2973,"Trap Queen","Fetty Wap",1
"2015-02-28",9,787,"Energy","Drake",5
"2015-02-28",10,339,"Blessings","Big Sean",5
"2015-02-28",11,170,"Apparently","J. Cole",10
"2015-02-28",12,852,"Feeling Myself","Nicki Minaj",8
"2015-02-28",13,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-02-28",14,2995,"Try Me","DeJ Loaf",8
"2015-02-28",15,1669,"Legend","Drake",10
"2015-02-21",1,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-02-21",2,2119,"Only","Nicki Minaj",1
"2015-02-21",3,1317,"I Don't F**k With You","Big Sean",1
"2015-02-21",4,546,"CoCo","O.T. Genasis",4
"2015-02-21",5,2991,"Truffle Butter","Nicki Minaj",2
"2015-02-21",6,2035,"No Type","Rae Sremmurd",2
"2015-02-21",7,950,"G.D.F.R.","Flo Rida",2
"2015-02-21",8,3281,"Work It","Missy Misdemeanor Elliott",1
"2015-02-21",9,1016,"Get Ur Freak On","Missy Misdemeanor Elliott",7
"2015-02-21",10,339,"Blessings","Big Sean",5
"2015-02-21",11,1761,"Lose Control","Missy Elliott",3
"2015-02-21",12,170,"Apparently","J. Cole",10
"2015-02-21",13,2973,"Trap Queen","Fetty Wap",1
"2015-02-21",14,852,"Feeling Myself","Nicki Minaj",8
"2015-02-21",15,2995,"Try Me","DeJ Loaf",8
"2015-02-21",16,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-02-21",19,282,"Beg For It","Iggy Azalea",5
"2015-02-21",20,1641,"L.A.LOVE (la la)","Fergie",5
"2015-02-14",1,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-02-14",2,2119,"Only","Nicki Minaj",1
"2015-02-14",3,1317,"I Don't F**k With You","Big Sean",1
"2015-02-14",4,546,"CoCo","O.T. Genasis",4
"2015-02-14",5,2035,"No Type","Rae Sremmurd",2
"2015-02-14",6,2991,"Truffle Butter","Nicki Minaj",2
"2015-02-14",7,950,"G.D.F.R.","Flo Rida",2
"2015-02-14",8,852,"Feeling Myself","Nicki Minaj",8
"2015-02-14",9,2995,"Try Me","DeJ Loaf",8
"2015-02-14",10,170,"Apparently","J. Cole",10
"2015-02-14",11,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-02-14",12,156,"Anaconda","Nicki Minaj",1
"2015-02-14",14,2973,"Trap Queen","Fetty Wap",1
"2015-02-14",15,282,"Beg For It","Iggy Azalea",5
"2015-02-14",16,1641,"L.A.LOVE (la la)","Fergie",5
"2015-02-14",19,866,"Fireball","Pitbull",4
"2015-02-07",1,1317,"I Don't F**k With You","Big Sean",1
"2015-02-07",2,2119,"Only","Nicki Minaj",1
"2015-02-07",3,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-02-07",4,2035,"No Type","Rae Sremmurd",2
"2015-02-07",5,546,"CoCo","O.T. Genasis",4
"2015-02-07",6,950,"G.D.F.R.","Flo Rida",2
"2015-02-07",7,1251,"Hot Boy","Bobby Shmurda",1
"2015-02-07",8,2995,"Try Me","DeJ Loaf",8
"2015-02-07",9,852,"Feeling Myself","Nicki Minaj",8
"2015-02-07",10,156,"Anaconda","Nicki Minaj",1
"2015-02-07",11,170,"Apparently","J. Cole",10
"2015-02-07",12,2991,"Truffle Butter","Nicki Minaj",2
"2015-02-07",13,282,"Beg For It","Iggy Azalea",5
"2015-02-07",14,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-02-07",16,1641,"L.A.LOVE (la la)","Fergie",5
"2015-02-07",17,2973,"Trap Queen","Fetty Wap",1
"2015-02-07",19,866,"Fireball","Pitbull",4
"2015-01-31",1,1317,"I Don't F**k With You","Big Sean",1
"2015-01-31",2,2119,"Only","Nicki Minaj",1
"2015-01-31",3,2035,"No Type","Rae Sremmurd",2
"2015-01-31",4,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-01-31",5,546,"CoCo","O.T. Genasis",4
"2015-01-31",6,1251,"Hot Boy","Bobby Shmurda",1
"2015-01-31",7,950,"G.D.F.R.","Flo Rida",2
"2015-01-31",8,2995,"Try Me","DeJ Loaf",8
"2015-01-31",9,282,"Beg For It","Iggy Azalea",5
"2015-01-31",10,852,"Feeling Myself","Nicki Minaj",8
"2015-01-31",11,1641,"L.A.LOVE (la la)","Fergie",5
"2015-01-31",12,156,"Anaconda","Nicki Minaj",1
"2015-01-31",14,170,"Apparently","J. Cole",10
"2015-01-31",15,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-01-31",16,866,"Fireball","Pitbull",4
"2015-01-24",1,1317,"I Don't F**k With You","Big Sean",1
"2015-01-24",2,2119,"Only","Nicki Minaj",1
"2015-01-24",3,2035,"No Type","Rae Sremmurd",2
"2015-01-24",4,546,"CoCo","O.T. Genasis",4
"2015-01-24",5,1251,"Hot Boy","Bobby Shmurda",1
"2015-01-24",6,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-01-24",7,282,"Beg For It","Iggy Azalea",5
"2015-01-24",8,2995,"Try Me","DeJ Loaf",8
"2015-01-24",9,950,"G.D.F.R.","Flo Rida",2
"2015-01-24",10,1641,"L.A.LOVE (la la)","Fergie",5
"2015-01-24",11,852,"Feeling Myself","Nicki Minaj",8
"2015-01-24",12,156,"Anaconda","Nicki Minaj",1
"2015-01-24",13,11,"0 To 100 / The Catch Up","Drake",7
"2015-01-24",14,170,"Apparently","J. Cole",10
"2015-01-24",16,866,"Fireball","Pitbull",4
"2015-01-24",17,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-01-17",1,1317,"I Don't F**k With You","Big Sean",1
"2015-01-17",2,2119,"Only","Nicki Minaj",1
"2015-01-17",3,2035,"No Type","Rae Sremmurd",2
"2015-01-17",4,1251,"Hot Boy","Bobby Shmurda",1
"2015-01-17",5,546,"CoCo","O.T. Genasis",4
"2015-01-17",6,282,"Beg For It","Iggy Azalea",5
"2015-01-17",7,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-01-17",8,1641,"L.A.LOVE (la la)","Fergie",5
"2015-01-17",9,2995,"Try Me","DeJ Loaf",8
"2015-01-17",10,156,"Anaconda","Nicki Minaj",1
"2015-01-17",11,950,"G.D.F.R.","Flo Rida",2
"2015-01-17",12,2011,"No Flex Zone","Rae Sremmurd",8
"2015-01-17",13,866,"Fireball","Pitbull",4
"2015-01-17",14,11,"0 To 100 / The Catch Up","Drake",7
"2015-01-17",15,852,"Feeling Myself","Nicki Minaj",8
"2015-01-17",17,170,"Apparently","J. Cole",10
"2015-01-17",19,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-01-10",1,1317,"I Don't F**k With You","Big Sean",1
"2015-01-10",2,2119,"Only","Nicki Minaj",1
"2015-01-10",3,2035,"No Type","Rae Sremmurd",2
"2015-01-10",4,1251,"Hot Boy","Bobby Shmurda",1
"2015-01-10",5,546,"CoCo","O.T. Genasis",4
"2015-01-10",6,282,"Beg For It","Iggy Azalea",5
"2015-01-10",7,335,"Black Widow","Iggy Azalea",1
"2015-01-10",8,1641,"L.A.LOVE (la la)","Fergie",5
"2015-01-10",9,1710,"Lifestyle","Rich Gang",3
"2015-01-10",10,2995,"Try Me","DeJ Loaf",8
"2015-01-10",11,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-01-10",12,156,"Anaconda","Nicki Minaj",1
"2015-01-10",13,2011,"No Flex Zone","Rae Sremmurd",8
"2015-01-10",14,11,"0 To 100 / The Catch Up","Drake",7
"2015-01-10",15,950,"G.D.F.R.","Flo Rida",2
"2015-01-10",16,852,"Feeling Myself","Nicki Minaj",8
"2015-01-10",17,866,"Fireball","Pitbull",4
"2015-01-10",20,170,"Apparently","J. Cole",10
"2015-01-03",1,1317,"I Don't F**k With You","Big Sean",1
"2015-01-03",2,2119,"Only","Nicki Minaj",1
"2015-01-03",3,2035,"No Type","Rae Sremmurd",2
"2015-01-03",4,1251,"Hot Boy","Bobby Shmurda",1
"2015-01-03",5,546,"CoCo","O.T. Genasis",4
"2015-01-03",6,282,"Beg For It","Iggy Azalea",5
"2015-01-03",7,335,"Black Widow","Iggy Azalea",1
"2015-01-03",8,852,"Feeling Myself","Nicki Minaj",8
"2015-01-03",9,1710,"Lifestyle","Rich Gang",3
"2015-01-03",10,2995,"Try Me","DeJ Loaf",8
"2015-01-03",11,156,"Anaconda","Nicki Minaj",1
"2015-01-03",12,1641,"L.A.LOVE (la la)","Fergie",5
"2015-01-03",14,11,"0 To 100 / The Catch Up","Drake",7
"2015-01-03",15,2011,"No Flex Zone","Rae Sremmurd",8
"2015-01-03",16,950,"G.D.F.R.","Flo Rida",2
"2015-01-03",17,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-01-03",19,170,"Apparently","J. Cole",10
"2014-12-27",1,2119,"Only","Nicki Minaj",1
"2014-12-27",2,1317,"I Don't F**k With You","Big Sean",1
"2014-12-27",3,2035,"No Type","Rae Sremmurd",2
"2014-12-27",4,1251,"Hot Boy","Bobby Shmurda",1
"2014-12-27",5,546,"CoCo","O.T. Genasis",4
"2014-12-27",6,282,"Beg For It","Iggy Azalea",5
"2014-12-27",7,335,"Black Widow","Iggy Azalea",1
"2014-12-27",8,1710,"Lifestyle","Rich Gang",3
"2014-12-27",9,1641,"L.A.LOVE (la la)","Fergie",5
"2014-12-27",10,2995,"Try Me","DeJ Loaf",8
"2014-12-27",11,156,"Anaconda","Nicki Minaj",1
"2014-12-27",12,11,"0 To 100 / The Catch Up","Drake",7
"2014-12-27",13,2011,"No Flex Zone","Rae Sremmurd",8
"2014-12-27",15,950,"G.D.F.R.","Flo Rida",2
"2014-12-27",16,866,"Fireball","Pitbull",4
"2014-12-27",19,170,"Apparently","J. Cole",10
"2014-12-27",20,2519,"Shower","Becky G",2
"2014-12-20",1,1317,"I Don't F**k With You","Big Sean",1
"2014-12-20",2,2035,"No Type","Rae Sremmurd",2
"2014-12-20",3,1251,"Hot Boy","Bobby Shmurda",1
"2014-12-20",4,546,"CoCo","O.T. Genasis",4
"2014-12-20",5,282,"Beg For It","Iggy Azalea",5
"2014-12-20",6,335,"Black Widow","Iggy Azalea",1
"2014-12-20",7,2119,"Only","Nicki Minaj",1
"2014-12-20",8,1710,"Lifestyle","Rich Gang",3
"2014-12-20",9,1641,"L.A.LOVE (la la)","Fergie",5
"2014-12-20",10,2995,"Try Me","DeJ Loaf",8
"2014-12-20",11,86,"About The Money","T.I.",9
"2014-12-20",12,156,"Anaconda","Nicki Minaj",1
"2014-12-20",13,11,"0 To 100 / The Catch Up","Drake",7
"2014-12-20",14,2011,"No Flex Zone","Rae Sremmurd",8
"2014-12-20",15,866,"Fireball","Pitbull",4
"2014-12-20",18,1305,"i","Kendrick Lamar",8
"2014-12-20",19,950,"G.D.F.R.","Flo Rida",2
"2014-12-20",20,2519,"Shower","Becky G",2
"2014-12-13",1,1317,"I Don't F**k With You","Big Sean",1
"2014-12-13",2,1251,"Hot Boy","Bobby Shmurda",1
"2014-12-13",3,2035,"No Type","Rae Sremmurd",2
"2014-12-13",4,335,"Black Widow","Iggy Azalea",1
"2014-12-13",5,1641,"L.A.LOVE (la la)","Fergie",5
"2014-12-13",6,282,"Beg For It","Iggy Azalea",5
"2014-12-13",7,1710,"Lifestyle","Rich Gang",3
"2014-12-13",8,2119,"Only","Nicki Minaj",1
"2014-12-13",9,546,"CoCo","O.T. Genasis",4
"2014-12-13",10,2995,"Try Me","DeJ Loaf",8
"2014-12-13",11,156,"Anaconda","Nicki Minaj",1
"2014-12-13",12,866,"Fireball","Pitbull",4
"2014-12-13",13,86,"About The Money","T.I.",9
"2014-12-13",14,2011,"No Flex Zone","Rae Sremmurd",8
"2014-12-13",15,11,"0 To 100 / The Catch Up","Drake",7
"2014-12-13",16,1142,"Guts Over Fear","Eminem",4
"2014-12-13",17,1305,"i","Kendrick Lamar",8
"2014-12-13",19,2519,"Shower","Becky G",2
"2014-12-06",1,1317,"I Don't F**k With You","Big Sean",1
"2014-12-06",2,1251,"Hot Boy","Bobby Shmurda",1
"2014-12-06",3,2035,"No Type","Rae Sremmurd",2
"2014-12-06",4,335,"Black Widow","Iggy Azalea",1
"2014-12-06",5,1710,"Lifestyle","Rich Gang",3
"2014-12-06",6,2119,"Only","Nicki Minaj",1
"2014-12-06",7,282,"Beg For It","Iggy Azalea",5
"2014-12-06",8,1641,"L.A.LOVE (la la)","Fergie",5
"2014-12-06",9,2995,"Try Me","DeJ Loaf",8
"2014-12-06",10,156,"Anaconda","Nicki Minaj",1
"2014-12-06",11,86,"About The Money","T.I.",9
"2014-12-06",12,11,"0 To 100 / The Catch Up","Drake",7
"2014-12-06",13,2011,"No Flex Zone","Rae Sremmurd",8
"2014-12-06",14,1305,"i","Kendrick Lamar",8
"2014-12-06",15,866,"Fireball","Pitbull",4
"2014-12-06",17,546,"CoCo","O.T. Genasis",4
"2014-12-06",18,2519,"Shower","Becky G",2
"2014-12-06",20,2023,"No Mediocre","T.I.",6
"2014-11-29",1,1251,"Hot Boy","Bobby Shmurda",1
"2014-11-29",2,1317,"I Don't F**k With You","Big Sean",1
"2014-11-29",3,335,"Black Widow","Iggy Azalea",1
"2014-11-29",4,2035,"No Type","Rae Sremmurd",2
"2014-11-29",5,1710,"Lifestyle","Rich Gang",3
"2014-11-29",6,2119,"Only","Nicki Minaj",1
"2014-11-29",7,156,"Anaconda","Nicki Minaj",1
"2014-11-29",8,1641,"L.A.LOVE (la la)","Fergie",5
"2014-11-29",9,2995,"Try Me","DeJ Loaf",8
"2014-11-29",10,282,"Beg For It","Iggy Azalea",5
"2014-11-29",11,86,"About The Money","T.I.",9
"2014-11-29",12,11,"0 To 100 / The Catch Up","Drake",7
"2014-11-29",13,2011,"No Flex Zone","Rae Sremmurd",8
"2014-11-29",14,1305,"i","Kendrick Lamar",8
"2014-11-29",15,866,"Fireball","Pitbull",4
"2014-11-29",16,2519,"Shower","Becky G",2
"2014-11-29",17,2023,"No Mediocre","T.I.",6
"2014-11-22",1,1251,"Hot Boy","Bobby Shmurda",1
"2014-11-22",2,335,"Black Widow","Iggy Azalea",1
"2014-11-22",3,1317,"I Don't F**k With You","Big Sean",1
"2014-11-22",4,1710,"Lifestyle","Rich Gang",3
"2014-11-22",5,2035,"No Type","Rae Sremmurd",2
"2014-11-22",6,156,"Anaconda","Nicki Minaj",1
"2014-11-22",7,2119,"Only","Nicki Minaj",1
"2014-11-22",8,1305,"i","Kendrick Lamar",8
"2014-11-22",9,11,"0 To 100 / The Catch Up","Drake",7
"2014-11-22",10,2995,"Try Me","DeJ Loaf",8
"2014-11-22",11,86,"About The Money","T.I.",9
"2014-11-22",12,866,"Fireball","Pitbull",4
"2014-11-22",13,282,"Beg For It","Iggy Azalea",5
"2014-11-22",14,2011,"No Flex Zone","Rae Sremmurd",8
"2014-11-22",15,1641,"L.A.LOVE (la la)","Fergie",5
"2014-11-22",16,2519,"Shower","Becky G",2
"2014-11-22",17,2023,"No Mediocre","T.I.",6
"2014-11-15",1,335,"Black Widow","Iggy Azalea",1
"2014-11-15",2,1251,"Hot Boy","Bobby Shmurda",1
"2014-11-15",3,1710,"Lifestyle","Rich Gang",3
"2014-11-15",4,866,"Fireball","Pitbull",4
"2014-11-15",5,2035,"No Type","Rae Sremmurd",2
"2014-11-15",6,1317,"I Don't F**k With You","Big Sean",1
"2014-11-15",7,156,"Anaconda","Nicki Minaj",1
"2014-11-15",8,11,"0 To 100 / The Catch Up","Drake",7
"2014-11-15",9,86,"About The Money","T.I.",9
"2014-11-15",10,1305,"i","Kendrick Lamar",8
"2014-11-15",11,2119,"Only","Nicki Minaj",1
"2014-11-15",12,2011,"No Flex Zone","Rae Sremmurd",8
"2014-11-15",13,282,"Beg For It","Iggy Azalea",5
"2014-11-15",14,1641,"L.A.LOVE (la la)","Fergie",5
"2014-11-15",15,2995,"Try Me","DeJ Loaf",8
"2014-11-15",16,2023,"No Mediocre","T.I.",6
"2014-11-15",17,2519,"Shower","Becky G",2
"2014-11-08",1,335,"Black Widow","Iggy Azalea",1
"2014-11-08",2,1251,"Hot Boy","Bobby Shmurda",1
"2014-11-08",3,1710,"Lifestyle","Rich Gang",3
"2014-11-08",4,156,"Anaconda","Nicki Minaj",1
"2014-11-08",5,866,"Fireball","Pitbull",4
"2014-11-08",6,1317,"I Don't F**k With You","Big Sean",1
"2014-11-08",7,2035,"No Type","Rae Sremmurd",2
"2014-11-08",8,830,"Fancy","Iggy Azalea",1
"2014-11-08",9,11,"0 To 100 / The Catch Up","Drake",7
"2014-11-08",10,86,"About The Money","T.I.",9
"2014-11-08",11,2011,"No Flex Zone","Rae Sremmurd",8
"2014-11-08",12,1305,"i","Kendrick Lamar",8
"2014-11-08",13,2023,"No Mediocre","T.I.",6
"2014-11-08",14,1641,"L.A.LOVE (la la)","Fergie",5
"2014-11-08",15,2519,"Shower","Becky G",2
"2014-11-08",16,2665,"Studio","ScHoolboy Q",5
"2014-11-08",17,2995,"Try Me","DeJ Loaf",8
"2014-11-08",20,950,"G.D.F.R.","Flo Rida",2
"2014-11-01",1,335,"Black Widow","Iggy Azalea",1
"2014-11-01",2,1251,"Hot Boy","Bobby Shmurda",1
"2014-11-01",3,156,"Anaconda","Nicki Minaj",1
"2014-11-01",4,1710,"Lifestyle","Rich Gang",3
"2014-11-01",5,866,"Fireball","Pitbull",4
"2014-11-01",6,830,"Fancy","Iggy Azalea",1
"2014-11-01",7,11,"0 To 100 / The Catch Up","Drake",7
"2014-11-01",8,2035,"No Type","Rae Sremmurd",2
"2014-11-01",9,1317,"I Don't F**k With You","Big Sean",1
"2014-11-01",10,2011,"No Flex Zone","Rae Sremmurd",8
"2014-11-01",11,1305,"i","Kendrick Lamar",8
"2014-11-01",12,86,"About The Money","T.I.",9
"2014-11-01",13,2023,"No Mediocre","T.I.",6
"2014-11-01",14,2519,"Shower","Becky G",2
"2014-11-01",15,2665,"Studio","ScHoolboy Q",5
"2014-11-01",17,1641,"L.A.LOVE (la la)","Fergie",5
"2014-11-01",19,806,"EW!","Jimmy Fallon",5
"2014-10-25",1,335,"Black Widow","Iggy Azalea",1
"2014-10-25",2,156,"Anaconda","Nicki Minaj",1
"2014-10-25",3,1251,"Hot Boy","Bobby Shmurda",1
"2014-10-25",4,1710,"Lifestyle","Rich Gang",3
"2014-10-25",5,806,"EW!","Jimmy Fallon",5
"2014-10-25",6,830,"Fancy","Iggy Azalea",1
"2014-10-25",7,866,"Fireball","Pitbull",4
"2014-10-25",8,11,"0 To 100 / The Catch Up","Drake",7
"2014-10-25",9,2011,"No Flex Zone","Rae Sremmurd",8
"2014-10-25",10,2023,"No Mediocre","T.I.",6
"2014-10-25",11,2035,"No Type","Rae Sremmurd",2
"2014-10-25",12,1305,"i","Kendrick Lamar",8
"2014-10-25",13,2519,"Shower","Becky G",2
"2014-10-25",14,86,"About The Money","T.I.",9
"2014-10-25",15,2665,"Studio","ScHoolboy Q",5
"2014-10-25",16,1317,"I Don't F**k With You","Big Sean",1
"2014-10-25",19,284,"Believe Me","Lil Wayne",2
"2014-10-18",1,335,"Black Widow","Iggy Azalea",1
"2014-10-18",2,156,"Anaconda","Nicki Minaj",1
"2014-10-18",3,1251,"Hot Boy","Bobby Shmurda",1
"2014-10-18",4,1710,"Lifestyle","Rich Gang",3
"2014-10-18",5,830,"Fancy","Iggy Azalea",1
"2014-10-18",6,866,"Fireball","Pitbull",4
"2014-10-18",7,11,"0 To 100 / The Catch Up","Drake",7
"2014-10-18",8,2011,"No Flex Zone","Rae Sremmurd",8
"2014-10-18",9,2023,"No Mediocre","T.I.",6
"2014-10-18",10,1305,"i","Kendrick Lamar",8
"2014-10-18",11,2519,"Shower","Becky G",2
"2014-10-18",12,2035,"No Type","Rae Sremmurd",2
"2014-10-18",13,2665,"Studio","ScHoolboy Q",5
"2014-10-18",14,86,"About The Money","T.I.",9
"2014-10-18",15,1317,"I Don't F**k With You","Big Sean",1
"2014-10-18",16,284,"Believe Me","Lil Wayne",2
"2014-10-11",1,156,"Anaconda","Nicki Minaj",1
"2014-10-11",2,335,"Black Widow","Iggy Azalea",1
"2014-10-11",3,1251,"Hot Boy","Bobby Shmurda",1
"2014-10-11",4,830,"Fancy","Iggy Azalea",1
"2014-10-11",5,1710,"Lifestyle","Rich Gang",3
"2014-10-11",6,866,"Fireball","Pitbull",4
"2014-10-11",7,11,"0 To 100 / The Catch Up","Drake",7
"2014-10-11",8,1305,"i","Kendrick Lamar",8
"2014-10-11",9,2011,"No Flex Zone","Rae Sremmurd",8
